A1 | theme4:0.5999938962981048 | 'SHOTCRETE' | A:SHOTCRETE
I3 | theme4:0.7999816888943144 | None | F:Buyer's Name:; P:Phone I:
R3 | theme4:0.7999816888943144 | None | F:Buyer's Name:; P:Phone I:
I4 | theme4:0.7999816888943144 | None | F:Job Site Address:; P:Phone II:
R4 | theme4:0.7999816888943144 | None | F:Job Site Address:; P:Phone II:
I5 | theme4:0.7999816888943144 | None | F:City:; M:Zip:
N5 | theme4:0.7999816888943144 | None | F:City:; M:Zip:
H7 | theme4:0.7999816888943144 | None | F:Email I:; N:Email II:
P7 | theme4:0.7999816888943144 | None | F:Email I:; N:Email II:
Q16 | theme4:0.7999816888943144 | 0 | A:swimming pool and related equipment to be installed at the ; I:=I4; N:for the cash price of ; Q:0; U:, and
I20 | theme4:0.7999816888943144 | datetime.datetime(2025, 3, 1, 0, 0) | A:Construction to substanstially commence on or about:; I:2025-03-01 00:00:00
I21 | theme4:0.7999816888943144 | datetime.datetime(2025, 9, 1, 0, 0) | A:Construction to be substanstially complete on or about:; I:2025-09-01 00:00:00
N28 | theme4:0.7999816888943144 | None | A:Non-Refundable Deposit:; G:=Q17; L:Perimeter:; P:'     Surface Area:; U:SQFT
S28 | theme4:0.7999816888943144 | None | A:Non-Refundable Deposit:; G:=Q17; L:Perimeter:; P:'     Surface Area:; U:SQFT
N30 | theme4:0.7999816888943144 | None | A:=IF($A$1=$W$3,W29,AE29); G:=IF(A$1=W$3,AC29,AH29); L:Pool Size:; O:'   X; Q:'
P30 | theme4:0.7999816888943144 | None | A:=IF($A$1=$W$3,W29,AE29); G:=IF(A$1=W$3,AC29,AH29); L:Pool Size:; O:'   X; Q:'
N32 | theme4:0.7999816888943144 | None | A:=IF($A$1=$W$3,W31,AE31); G:=IF(A$1=W$3,AC31,AH31); L:Pool Depth:; O:'   X; Q:'   X; S:'
P32 | theme4:0.7999816888943144 | None | A:=IF($A$1=$W$3,W31,AE31); G:=IF(A$1=W$3,AC31,AH31); L:Pool Depth:; O:'   X; Q:'   X; S:'
R32 | theme4:0.7999816888943144 | None | A:=IF($A$1=$W$3,W31,AE31); G:=IF(A$1=W$3,AC31,AH31); L:Pool Depth:; O:'   X; Q:'   X; S:'
Q39 | theme4:0.7999816888943144 | 'None' | A:1.  Standard Engineered Plans and Pool Permit; I:BY BUILDER; L:22. Auxiliary Pump I; Q:None
Q40 | theme4:0.7999816888943144 | 'None' | A:2.  Pool layout and excavation ; I:BY BUILDER; L:23. Auxiliary Pump II; Q:None
Q41 | theme4:0.7999816888943144 | 'Salt System' | A:3.  Removal of dirt on day of excavation only; I:BY BUILDER; L:24. Sanitation I; Q:Salt System
Q42 | theme4:0.7999816888943144 | 'None' | A:4.  Removal of access wall or fence; I:BY BUYER; L:25. Sanitation II; Q:None
Q43 | theme4:0.7999816888943144 | 'None' | A:5.  Replacement of access wall or fence; I:BY BUYER; L:26. Sanitation III; Q:None
Q44 | theme4:0.7999816888943144 | 'None' | A:6.  Repair Damaged Utilities, Irrigation, Landscaping and; I:BY BUYER; L:27. Cleaner; Q:None
Q45 | theme4:0.7999816888943144 | 'None' | A:     Concrete Sidewalk or Driveway; L:28. Heater; Q:None
Q46 | theme4:0.7999816888943144 | 'None' | A:7.  Removal of trees in the access or pool area; I:BY BUYER; L:29. Gas line; Q:None
Q47 | theme4:0.7999816888943144 | 'None' | A:8.  Removal of concrete in the access or pool area; I:BY BUYER; L:30. Line Type; Q:None
