# Transcribed from user-provided Latham specification images, September 2026.
# kind|catalog label|width ft:in|length ft:in|shallow ft:in|deep ft:in|gallons|water area sqft|perimeter ft|liner feet steps
pool|Apollo 14|13:10|32:0|3:6|6:1|7700|391|87|53
pool|Ariel 16|15:10|40:0|3:6|7:4|15300|570|107|27
pool|Aruba|11:0|22:0|3:6|5:0|5200|177|54|19
pool|Astoria 12|12:0|28:0|3:6|5:7|6000|277|102|27
pool|Astoria 14|14:0|35:0|3:6|6:6|10700|434|120|32
pool|Astoria 16|15:10|40:0|3:6|7:0|15600|548|137|36
pool|Axiom 12|12:0|26:0|4:0|5:0|5300|214|64|22
pool|Axiom 12 Deluxe|12:0|26:0|3:0|4:7|4400|209|73|35
pool|Axiom 14|14:0|30:0|4:0|6:0|8000|297|74|33
pool|Axiom 14 Deluxe|14:0|30:0|4:6|5:6|5100|288|89|51
pool|Axiom 16|16:0|35:0|4:6|6:6|11600|395|87|50
pool|Barcelona|16:0|37:10|3:6|7:0|18500|518|101|36
pool|Bay Isle|14:6|29:10|3:0|6:6|10000|318|74|25
pool|Bermuda 12|12:0|26:0|3:6|5:6|7000|226|63|29
pool|Bermuda 12 Deluxe|12:0|26:0|3:6|5:6|4500|216|84|24
pool|Bermuda 14|14:0|30:0|3:6|6:0|10000|310|74|22
pool|Bermuda 14 Deluxe|14:0|30:0|4:0|6:0|9000|300|92|31
pool|Bermuda 16.35|16:0|35:0|3:6|6:6|14000|397|86|22
pool|Bermuda 16.35 Deluxe|16:0|35:0|4:3|6:6|11500|381|114|37
pool|Bermuda 16.40|16:0|40:0|3:6|6:6|17000|468|96|32
pool|Cape Cod 12|12:0|26:9|3:6|5:5|6800|233|69|13
pool|Cape Cod 14|14:0|31:0|3:6|6:0|12000|325|79|13
pool|Cape Cod 16|16:0|36:0|3:6|7:0|18000|451|93|13
pool|Claremont|14:0|33:0|3:7|5:4|11700|416|90|48
pool|Coral 16|15:10|30:10|3:6|6:11|9000|331|75|34
pool|Corinthian 12|12:0|25:0|3:6|5:5|5100|254|69|39
pool|Corinthian 12B|12:0|25:0|3:6|5:5|5100|254|69|39
pool|Corinthian 14|14:0|30:0|3:6|6:0|8200|365|83|45
pool|Corinthian 14B|14:0|30:0|3:6|6:0|8200|365|83|45
pool|Corinthian 16|15:10|40:0|3:6|7:0|15400|563|107|49
pool|Corinthian 16B|15:10|40:0|3:6|7:0|15400|563|107|49
pool|Coronado|15:0|34:0|3:6|6:6|13000|410|84|24
pool|Delray|11:10|25:5|4:6|4:6|8100|264|70|20
pool|Enchantment 9.17|9:1|17:5|4:9|4:9|3200|129|48|29
pool|Enchantment 9.21|9:1|20:7|4:9|4:9|4000|154|55|29
pool|Enchantment 9.24|9:1|23:10|4:9|4:9|4800|180|61|29
pool|Fiji|15:0|34:0|3:6|6:0|12000|375|83|18
pool|Jamaica 10|9:10|19:9|3:2|5:0|3750|138|48|16
pool|Jamaica 12|12:3|23:11|3:6|5:0|6000|211|59|27
pool|Jamaica 14|14:4|27:7|3:7|5:10|10000|288|68|30
pool|Key West|12:0|25:7|3:7|6:0|9000|230|66|13
pool|Kingston|16:0|38:0|3:6|5:10|17500|555|104|60
pool|Lake Shore|16:0|33:0|3:7|5:5|15000|480|94|60
pool|Milan 8.14|8:0|14:0|4:0|4:0|1200|88|39|22
pool|Milan 10.16|10:0|16:0|4:0|4:0|2450|135|48|31
pool|Milan 10.20|10:0|20:0|4:10|4:10|3900|166|55|34
pool|Monaco|16:0|40:0|3:8|8:0|21000|585|108|60
pool|Olympia 12|12:0|26:0|3:6|5:8|7600|275|72|52
pool|Olympia 14|14:0|30:0|3:6|6:0|11200|377|84|61
pool|Olympia 16|16:0|35:0|3:6|6:4|15250|510|98|76
pool|Pleasant Cove|11:0|22:0|3:5|5:6|5000|173|54|8
pool|Sirius|12:0|24:0|3:6|5:6|6700|239|70|21
pool|St. Thomas|14:0|31:6|3:7|7:0|13700|396|85|20
pool|Synergy 16|16:0|40:2|3:10|6:3|14000|553|106|35
pool|Synergy Grand|16:0|40:2|3:10|8:6|20000|553|106|35
pool|Tuscan 11.20|11:1|20:3|3:11|5:2|5000|168|57|20
pool|Tuscan 13.24|12:10|23:7|3:11|5:5|6100|229|59|21
pool|Tuscan 14.27|13:9|26:10|3:11|5:9|7900|288|76|24
pool|Tuscan 14.30|13:9|30:1|3:11|5:11|10000|325|83|24
pool|Tuscan 14.40|13:9|39:11|3:7|6:2|13200|459|102|31
pool|Vista Isle|12:0|28:0|3:6|5:10|8000|294|70|10
spa|Mystic|9:8|9:8|3:4|3:4|950|64|28|
spa|Regal|7:8|9:8|3:4|3:4|775|52|28|
spa|Royal|7:8|9:8|3:4|3:4|830|63|32|
spa|Shasta|6:11|6:11|3:0|3:0|350|31|20|
ledge|Gen/Syn/Semicircle|9:4|16:6|0:10|0:10|400|92|39|
ledge|Hermosa|5:9|9:8|0:10|0:10|250|50|27|
ledge|Rectangle|7:8|15:8|0:10|0:10|400|105|44|
ledge|Semicircle|8:4|16:0|0:10|0:10|310|93|39|
